ITEM,VALUE,TYPE,CATEGORY,CREATED_AT
Bebek Goreng,30000,0,0,2024-06-28 05:08:56
Kopi Toraja,15000,0,0,2024-02-03 00:33:46
Nasi Lemak,20000,0,0,2024-05-31 04:42:05
Sate Kambing,35000,0,0,2023-11-30 09:25:53
Es Susu Kedelai,6000,0,0,2023-10-04 12:40:13
Becak,10000,1,0,2023-07-03 07:15:01
Rendang,30000,0,0,2024-04-23 10:03:41
Becak,10000,1,0,2023-12-13 03:52:18
Tongseng,30000,0,0,2023-06-16 03:20:05
Martabak,30000,0,0,2024-07-09 13:21:15
Nasi Kuning,15000,0,0,2024-02-08 04:07:50
Jus Melon,15000,0,0,2022-09-22 16:40:59
Susu Kambing,15000,0,0,2022-10-22 18:06:04
LRT,15000,1,0,2024-01-29 11:00:21
Jus Belimbing,15000,0,0,2023-02-14 15:57:52
Jus Jambu,15000,0,0,2024-07-23 14:16:09
Teh Rosella,7000,0,0,2024-05-20 03:03:49
Teh Melati,7000,0,0,2024-05-28 00:02:27
Sop Buntut,40000,0,0,2023-02-15 16:44:58
Es Pisang Ijo,15000,0,0,2024-02-24 06:19:05
Teh Putih,9000,0,0,2023-12-30 14:41:50
Ojek,15000,1,0,2024-01-23 17:42:56
Tumis Kangkung,15000,0,0,2023-08-15 14:41:44
Pecel,15000,0,0,2023-07-24 19:24:35
LRT,15000,1,0,2023-06-01 00:53:58
Becak,10000,1,0,2023-11-28 03:55:56
Es Nangka,10000,0,0,2024-02-29 23:02:15
Pepes Tahu,15000,0,0,2022-08-24 22:45:19
Es Susu Kedelai,6000,0,0,2024-08-04 04:37:59
Asinan Betawi,15000,0,0,2023-09-06 14:32:22
Jus Alpukat,15000,0,0,2023-11-11 23:05:03
Teh Oolong,8000,0,0,2023-04-14 08:35:55
Mendaki Gunung,75000,2,0,2023-10-07 05:58:34
Ayam Bakar,25000,0,0,2023-07-07 12:43:57
Es Susu Coklat,8000,0,0,2024-07-11 13:44:31
Bajaj,20000,1,0,2023-01-19 16:26:14
Tempe Mendoan,15000,0,0,2024-01-30 12:03:46
Bajaj,20000,1,0,2023-06-09 02:14:12
Hangout,50000,2,0,2023-06-12 19:27:46
Kerak Telor,20000,0,0,2022-10-25 21:48:33
Mengikuti Kegiatan Komunitas,20000,2,0,2023-10-26 00:47:19
Teh Tarik,8000,0,0,2024-09-08 23:14:33
Es Kopyor,15000,0,0,2023-03-13 04:01:02
